ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): CALIFORNIA

Agency Name,State Name [District] Latest available year,State Name [District] 2020-21,Agency ID - NCES Assigned [District] Latest available year,County Name [District] 2020-21,Total Students All Grades (Excludes AE) [District] 2020-21,Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
ANIMO JAMES B. TAYLOR CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601960",Los Angeles County,463,25.01,18.51
ANIMO JEFFERSON CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602344",Los Angeles County,541,26.01,20.80
ANIMO LEADERSHIP HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602052",Los Angeles County,654,29.11,22.47
ANIMO LEGACY CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601624",Los Angeles County,954,57.01,16.73
ANIMO MAE JEMISON CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601649",Los Angeles County,496,27.01,18.36
ANIMO PAT BROWN DISTRICT,CALIFORNIA,CALIFORNIA,="0602257",Los Angeles County,633,27.11,23.35
ANIMO RALPH BUNCHE CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601899",Los Angeles County,617,30.11,20.49
ANIMO SOUTH LOS ANGELES CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602435",Los Angeles County,650,31.11,20.89
ANIMO VENICE CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602461",Los Angeles County,521,28.11,18.53
ANIMO WATTS COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602219",Los Angeles County,580,27.71,20.93
ANIMO WESTSIDE CHARTER MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602105",Los Angeles County,355,19.21,18.48
ANTELOPE ELEMENTARY,California,CALIFORNIA,="0602760",Tehama County,817,36.62,22.31
ANTELOPE VALLEY LEARNING ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601854",Los Angeles County,1539,60.38,25.49
ANTELOPE VALLEY ROP,California,CALIFORNIA,="0600112",Los Angeles County,="0",–,–
ANTELOPE VALLEY SCHOOLS TRANSPORTATION AGENCY,California,CALIFORNIA,="0601363",Los Angeles County,†,†,†
ANTELOPE VALLEY UNION HIGH,California,CALIFORNIA,="0602820",Los Angeles County,21991,927.29,23.72
ANTIOCH CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602027",Contra Costa County,194,10.40,18.65
ANTIOCH CHARTER ACADEMY II DISTRICT,CALIFORNIA,CALIFORNIA,="0601822",Contra Costa County,199,9.51,20.93
ANTIOCH UNIFIED,California,CALIFORNIA,="0602850",Contra Costa County,15652,699.92,22.36
APEX ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601761",Los Angeles County,352,20.00,17.60
APPLE VALLEY UNIFIED,California,CALIFORNIA,="0600017",San Bernardino County,12892,546.53,23.59
ARARAT CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601742",Los Angeles County,340,13.00,26.15
ARCADIA UNIFIED,California,CALIFORNIA,="0602970",Los Angeles County,8946,370.67,24.13
ARCATA ELEMENTARY,California,CALIFORNIA,="0603000",Humboldt County,484,27.50,17.60
ARCHITECTURECONSTRUCTION & ENGINEER CHTR HIGH(ACE) DISTRICT,CALIFORNIA,CALIFORNIA,="0602277",Ventura County,256,13.15,19.47
ARCOHE UNION ELEMENTARY,California,CALIFORNIA,="0603060",Sacramento County,466,23.00,20.26
ARENA UNION ELEMENTARY,California,CALIFORNIA,="0603090",Mendocino County,210,12.37,16.98
ARENA UNION ELEMENTARY/POINT ARENA JOINT UNION HIGH,California,CALIFORNIA,="0601325",Mendocino County,†,†,†
ARISE HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602462",Alameda County,387,19.70,19.64
ARMONA UNION ELEMENTARY,California,CALIFORNIA,="0603180",Kings County,1134,54.50,20.81
AROMAS - SAN JUAN UNIFIED,California,CALIFORNIA,="0691136",San Benito County,1017,46.55,21.85
ARROYO VISTA CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601645",San Diego County,944,39.07,24.16
ARTS IN ACTION COMMUNITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602389",Los Angeles County,391,18.00,21.72
ARTS IN ACTION COMMUNITY MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0601939",Los Angeles County,216,9.00,24.00
ARVIN UNION,California,CALIFORNIA,="0603270",Kern County,3024,126.80,23.85
ASA CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601711",San Bernardino County,243,14.20,17.11
ASCEND DISTRICT,CALIFORNIA,CALIFORNIA,="0601704",Alameda County,510,23.25,21.94
ASPEN MEADOW PUBLIC DISTRICT,CALIFORNIA,CALIFORNIA,="0602321",Fresno County,257,14.01,18.34
ASPEN VALLEY PREP ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601714",Fresno County,392,21.00,18.67
ASPIRE ALEXANDER TWILIGHT COLLEGE PREPARATORY ACAD DISTRICT,CALIFORNIA,CALIFORNIA,="0602123",Sacramento County,433,19.51,22.19
ASPIRE ALEXANDER TWILIGHT SECONDARY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601703",Sacramento County,531,22.50,23.60
ASPIRE ANTONIO MARIA LUGO ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601821",Los Angeles County,415,17.00,24.41
ASPIRE APEX ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602367",San Joaquin County,324,14.31,22.64
ASPIRE BENJAMIN HOLT COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602376",San Joaquin County,572,20.50,27.90
ASPIRE BENJAMIN HOLT MIDDLE DISTRICT,CALIFORNIA,CALIFORNIA,="0602069",San Joaquin County,575,20.87,27.55
ASPIRE BERKLEY MAYNARD ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602046",Alameda County,561,26.30,21.33
ASPIRE CAPITOL HEIGHTS ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601598",Sacramento County,186,12.50,14.88
ASPIRE CENTENNIAL COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601553",Los Angeles County,483,22.90,21.09
ASPIRE COLLEGE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602112",Alameda County,271,13.00,20.85
ASPIRE EAST PALO ALTO CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601604",San Mateo County,632,30.48,20.73
ASPIRE ERES ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601994",Alameda County,228,7.71,29.57
ASPIRE FIRESTONE ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602262",Los Angeles County,370,17.00,21.76
ASPIRE GATEWAY ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602472",Los Angeles County,367,18.00,20.39
ASPIRE GOLDEN STATE COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601552",Alameda County,608,25.67,23.69
ASPIRE INSKEEP ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602417",Los Angeles County,379,15.00,25.27
ASPIRE JUANITA TATE ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602335",Los Angeles County,380,14.70,25.85
ASPIRE JUNIOR COLLEGIATE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601557",Los Angeles County,323,13.50,23.93
ASPIRE LANGSTON HUGHES ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601801",San Joaquin County,820,37.00,22.16
ASPIRE LIONEL WILSON COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602212",Alameda County,505,27.00,18.70
ASPIRE MONARCH ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602448",Alameda County,414,18.80,22.02
ASPIRE OLLIN UNIVERSITY PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601857",Los Angeles County,564,25.18,22.40
ASPIRE PACIFIC ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601667",Los Angeles County,578,26.00,22.23
ASPIRE PORT CITY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602445",San Joaquin County,438,19.50,22.46
ASPIRE RICHMOND CA. COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602403",Contra Costa County,580,28.70,20.21
ASPIRE RICHMOND TECHNOLOGY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601547",Contra Costa County,450,20.00,22.50
ASPIRE RIVER OAKS CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602452",San Joaquin County,423,19.64,21.54
ASPIRE ROSA PARKS ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602059",San Joaquin County,405,20.51,19.75
ASPIRE SLAUSON ACADEMY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602196",Los Angeles County,341,13.50,25.26
ASPIRE STOCKTON 6-12 SECONDARY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602532",San Joaquin County,41,2.00,20.50
ASPIRE STOCKTON TK-5 ELEMENTARY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602534",San Joaquin County,67,4.00,16.75
ASPIRE SUMMIT CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602095",Stanislaus County,416,19.00,21.89
ASPIRE TITAN ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601524",Los Angeles County,322,13.93,23.12
ASPIRE TRIUMPH TECHNOLOGY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601496",Alameda County,286,11.45,24.98
ASPIRE UNIVERSITY CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601778",Stanislaus County,422,18.13,23.28
ASPIRE VANGUARD COLLEGE PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601826",Stanislaus County,571,23.50,24.30
ASPIRE VINCENT SHALVEY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602476",San Joaquin County,435,18.00,24.17
ASSURANCE LEARNING ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602437",Los Angeles County,3142,114.85,27.36
ATASCADERO UNIFIED,California,CALIFORNIA,="0603300",San Luis Obispo County,4397,197.88,22.22
ATWATER ELEMENTARY,California,CALIFORNIA,="0603420",Merced County,4815,210.71,22.85
AUBURN UNION ELEMENTARY,California,CALIFORNIA,="0603480",Placer County,1741,82.75,21.04
AUDEO CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601522",San Diego County,756,23.49,32.18
AUDEO CHARTER II DISTRICT,CALIFORNIA,CALIFORNIA,="0601855",San Diego County,244,7.99,30.54
AUDEO CHARTER SCHOOL III DISTRICT,CALIFORNIA,CALIFORNIA,="0602248",San Diego County,107,3.99,26.82
AURUM PREPARATORY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602459",Alameda County,197,4.00,49.25
AVESON GLOBAL LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602181",Los Angeles County,328,18.00,18.22
AVESON SCHOOL OF LEADERS DISTRICT,CALIFORNIA,CALIFORNIA,="0602074",Los Angeles County,408,19.00,21.47
AZUSA UNIFIED,California,CALIFORNIA,="0603600",Los Angeles County,7330,320.56,22.87
B. ROBERTO CRUZ LEADERSHIP ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601474",Santa Clara County,259,13.93,18.59
BAKER VALLEY UNIFIED,California,CALIFORNIA,="0603610",San Bernardino County,127,11.65,10.90
BAKERSFIELD CITY,California,CALIFORNIA,="0603630",Kern County,29307,1396.39,20.99
BALDWIN PARK UNIFIED,California,CALIFORNIA,="0603690",Los Angeles County,11569,536.63,21.56
BALDY VIEW ROP,California,CALIFORNIA,="0600131",San Bernardino County,="0",–,–
BALDY VIEW ROP JPA,California,CALIFORNIA,="0601382",San Bernardino County,†,†,†
BALLARD ELEMENTARY,California,CALIFORNIA,="0603720",Santa Barbara County,128,7.00,18.29
BALLICO-CRESSEY ELEMENTARY,California,CALIFORNIA,="0603750",Merced County,348,19.80,17.58
BALLINGTON ACAD FOR ARTS & SCIS - SAN BERNARDINO DISTRICT,CALIFORNIA,CALIFORNIA,="0601919",San Bernardino County,176,10.00,17.60
BALLINGTON ACADEMY FOR THE ARTS AND SCIENCES DISTRICT,CALIFORNIA,CALIFORNIA,="0601744",Imperial County,245,14.00,17.50
BANGOR UNION ELEMENTARY,California,CALIFORNIA,="0603780",Butte County,107,4.01,26.68
BANNING UNIFIED,California,CALIFORNIA,="0603840",Riverside County,4440,194.38,22.84
BANTA CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602551",San Joaquin County,21,1.13,18.58
BANTA ELEMENTARY,California,CALIFORNIA,="0603870",San Joaquin County,264,11.37,23.22
BARACK OBAMA CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602018",Los Angeles County,415,13.50,30.74
BARONA INDIAN CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601814",San Diego County,105,6.00,17.50
BARSTOW UNIFIED,California,CALIFORNIA,="0604020",San Bernardino County,6129,265.39,23.09
BASS LAKE JOINT UNION ELEMENTARY,California,CALIFORNIA,="0604080",Madera County,814,39.65,20.53
BASSETT UNIFIED,California,CALIFORNIA,="0604110",Los Angeles County,3215,131.92,24.37
BAY AREA TECHNOLOGY DISTRICT,CALIFORNIA,CALIFORNIA,="0601827",Alameda County,353,16.30,21.66
BAY VIEW ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602120",Monterey County,457,19.50,23.44
BAYPOINT PREPARATORY ACADEMY - SAN DIEGO DISTRICT,CALIFORNIA,CALIFORNIA,="0602295",San Diego County,151,8.00,18.88
BAYSHORE ELEMENTARY,California,CALIFORNIA,="0604200",San Mateo County,361,18.40,19.62
BEAR VALLEY UNIFIED,California,CALIFORNIA,="0604230",San Bernardino County,2238,102.71,21.79
BEARDSLEY ELEMENTARY,California,CALIFORNIA,="0604260",Kern County,1857,90.00,20.63
BEAUMONT UNIFIED,California,CALIFORNIA,="0604290",Riverside County,10694,427.62,25.01
BELLA MENTE MONTESSORI ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601737",San Diego County,465,25.31,18.37
BELLA VISTA ELEMENTARY,California,CALIFORNIA,="0604350",Shasta County,337,18.38,18.34
BELLEVIEW ELEMENTARY,California,CALIFORNIA,="0604500",Tuolumne County,164,9.92,16.53
BELLEVUE UNION,California,CALIFORNIA,="0604380",Sonoma County,1544,68.16,22.65
BELLEVUE-SANTA FE CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601813",San Luis Obispo County,159,7.00,22.71
BELLFLOWER UNIFIED,California,CALIFORNIA,="0604440",Los Angeles County,10723,471.61,22.74
BELMONT-REDWOOD SHORES ELEMENTARY,California,CALIFORNIA,="0604530",San Mateo County,4152,178.73,23.23
BELRIDGE ELEMENTARY,California,CALIFORNIA,="0604560",Kern County,25,2.00,12.50
BENICIA UNIFIED,California,CALIFORNIA,="0604620",Solano County,4526,189.75,23.85
BENNETT VALLEY UNION ELEMENTARY,California,CALIFORNIA,="0604650",Sonoma County,989,45.00,21.98
BERKELEY UNIFIED,California,CALIFORNIA,="0604740",Alameda County,9409,502.56,18.72
BERRYESSA UNION ELEMENTARY,California,CALIFORNIA,="0604800",Santa Clara County,6534,279.09,23.41
BERT CORONA CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602093",Los Angeles County,348,14.50,24.00
BERT CORONA CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0602116",Los Angeles County,190,12.00,15.83
BEVERLY HILLS UNIFIED,California,CALIFORNIA,="0604830",Los Angeles County,3313,230.51,14.37
BIG CREEK ELEMENTARY,California,CALIFORNIA,="0604860",Fresno County,51,3.00,17.00
BIG LAGOON UNION ELEMENTARY,California,CALIFORNIA,="0604890",Humboldt County,24,2.00,12.00
BIG OAK FLAT-GROVELAND UNIFIED,California,CALIFORNIA,="0691137",Tuolumne County,278,23.30,11.93
BIG PICTURE EDUCATIONAL ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601829",Fresno County,595,30.47,19.53
BIG PINE UNIFIED,California,CALIFORNIA,="0604950",Inyo County,155,15.25,10.16
BIG SPRINGS UNION ELEMENTARY,California,CALIFORNIA,="0604980",Siskiyou County,178,9.00,19.78
BIG SUR CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602469",Monterey County,94,4.00,23.50
BIG SUR UNIFIED,California,CALIFORNIA,="0600031",Monterey County,9,3.20,2.81
BIG VALLEY JOINT UNIFIED,California,CALIFORNIA,="0605010",Lassen County,117,8.66,13.51
BIGGS UNIFIED,California,CALIFORNIA,="0605040",Butte County,563,35.25,15.97
BIRMINGHAM COMMUNITY CHARTER HIGH DISTRICT,CALIFORNIA,CALIFORNIA,="0601596",Los Angeles County,3159,133.56,23.65
BISHOP UNIFIED,California,CALIFORNIA,="0601409",Inyo County,1969,100.30,19.63
BITTERWATER-TULLY ELEMENTARY,California,CALIFORNIA,="0605190",San Benito County,34,2.00,17.00
BLACK BUTTE UNION ELEMENTARY,California,CALIFORNIA,="0605220",Shasta County,221,10.21,21.65
BLACK OAK MINE UNIFIED,California,CALIFORNIA,="0605240",El Dorado County,1284,60.73,21.14
BLAKE ELEMENTARY,California,CALIFORNIA,="0605250",Kern County,22,2.00,11.00
BLOCHMAN UNION ELEMENTARY,California,CALIFORNIA,="0605280",Santa Barbara County,173,9.00,19.22
BLP SCHS SELF-INC. WORKERS COMPENSATION,California,CALIFORNIA,="0601350",Los Angeles County,†,†,†
BLUE LAKE UNION ELEMENTARY,California,CALIFORNIA,="0605400",Humboldt County,179,10.40,17.21
BLUE OAK ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602299",Tulare County,286,11.20,25.54
BLUE OAK CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0602177",Butte County,292,15.00,19.47
BLUE RIDGE ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602062",Kern County,6967,244.46,28.50
BOGUS ELEMENTARY,California,CALIFORNIA,="0605490",Siskiyou County,20,="0.94",21.28
BOLINAS-STINSON UNION,California,CALIFORNIA,="0605520",Marin County,84,8.50,9.88
BONITA UNIFIED,California,CALIFORNIA,="0605610",Los Angeles County,9669,411.60,23.49
BONNY DOON UNION ELEMENTARY,California,CALIFORNIA,="0605640",Santa Cruz County,107,7.60,14.08
BONSALL UNIFIED,CALIFORNIA,CALIFORNIA,="0601426",San Diego County,2164,98.66,21.93
BORREGO SPRINGS UNIFIED,California,CALIFORNIA,="0605700",San Diego County,373,19.90,18.74
BRADLEY UNION ELEMENTARY,California,CALIFORNIA,="0605730",Monterey County,58,3.00,19.33
BRAWLEY ELEMENTARY,California,CALIFORNIA,="0605790",Imperial County,3898,167.52,23.27
BRAWLEY UNION HIGH,California,CALIFORNIA,="0605820",Imperial County,2019,80.22,25.17
BREA-OLINDA UNIFIED,California,CALIFORNIA,="0605880",Orange County,5990,246.65,24.29
BRENTWOOD UNION ELEMENTARY,California,CALIFORNIA,="0605910",Contra Costa County,9023,370.61,24.35
BRET HARTE UNION HIGH,California,CALIFORNIA,="0605940",Calaveras County,624,35.42,17.62
BRIDGES CHARTER DISTRICT,CALIFORNIA,CALIFORNIA,="0601879",Ventura County,399,18.08,22.07
BRIDGEVILLE ELEMENTARY,California,CALIFORNIA,="0606000",Humboldt County,43,3.00,14.33
BRIGGS ELEMENTARY,California,CALIFORNIA,="0606030",Ventura County,499,26.60,18.76
BRIGHT STAR SECONDARY CHARTER ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0601532",Los Angeles County,536,22.83,23.48
BRISBANE ELEMENTARY,California,CALIFORNIA,="0606060",San Mateo County,474,29.91,15.85
BRITTAN ELEMENTARY,California,CALIFORNIA,="0606090",Sutter County,427,20.00,21.35
BROOKFIELD ENGINEERING SCIENCE TECHNOLOGY ACADEMY DISTRICT,CALIFORNIA,CALIFORNIA,="0602501",San Diego County,384,10.78,35.62
BROWNS ELEMENTARY,California,CALIFORNIA,="0606100",Sutter County,128,8.00,16.00
BUCKEYE UNION ELEMENTARY,California,CALIFORNIA,="0606270",El Dorado County,4406,202.25,21.78
