,District Name,State Name [District] Latest available year_x,Total Staff [District] 2020-21,Paraprofessionals/Instructional Aides [District] 2020-21,Total Guidance Counselors [District] 2020-21,Instructional Coordinators [District] 2020-21,Librarians/media specialists [District] 2020-21,LEA Administrators [District] 2020-21,LEA Administrative Support Staff [District] 2020-21,School Administrators [District] 2020-21,Student Support Services Staff (w/o Psychology) [District] 2020-21,School Psychologist [District] 2020-21,Other Support Services Staff [District] 2020-21,Agency Name [District] 2020-21,Agency_ID,County Name [District] 2020-21_x,County Number [District] 2020-21,Total Number Operational Schools [Public School] 2020-21,State Name [District] 2020-21,"Total Students, All Grades (Excludes AE) [District] 2020-21",Full-Time Equivalent (FTE) Teachers [District] 2020-21,Pupil/Teacher Ratio [District] 2020-21
28,albert einstein academy charter elementary district,CALIFORNIA,64.75,15.5,0,0,1,1.5,0,0,1,1,7,Albert Einstein Academy Charter Elementary District,602409.0,San Diego County,6073.0,1.0,CALIFORNIA,801,33,24.27
29,albert einstein academy charter middle district,CALIFORNIA,51.05,8.25,0,0,1,1.5,0,0,0,0.9,4.85,Albert Einstein Academy Charter Middle District,601896.0,San Diego County,6073.0,1.0,CALIFORNIA,601,29.05,20.69
30,alder grove charter school 2 district,CALIFORNIA,41.61,4.56,0,0,0,1,0,0,1,1.4,6.04,Alder Grove Charter School 2 District,602072.0,Humboldt County,6023.0,1.0,CALIFORNIA,472,23.61,19.99
31,alexander valley union elementary,California,19.99,5.25,0,0,0,0.45,0,0.55,0.14,0,3.32,Alexander Valley Union Elementary,601890.0,Sonoma County,6097.0,1.0,CALIFORNIA,115,8.38,13.72
32,alhambra unified,California,1531.13,133.96,37.28,0,2,15,0,46.93,49.03,25.2,382.82,Alhambra Unified,600153.0,Los Angeles County,6037.0,18.0,CALIFORNIA,15747,643.14,24.48
33,alisal union,California,686.4,43.33,5,0,0,4,0,23,8,7,191.57,Alisal Union,601950.0,Monterey County,6053.0,12.0,CALIFORNIA,8165,336,24.3
34,all tribes charter district,CALIFORNIA,6.5,0.5,0,0,0,0.25,0,0,0,0,1,All Tribes Charter District,601989.0,San Diego County,6073.0,1.0,CALIFORNIA,62,4.25,14.59
35,all tribes elementary charter district,CALIFORNIA,6.5,0.5,0,0,0,0.25,0,0,0,0,1,All Tribes Elementary Charter District,601521.0,San Diego County,6073.0,1.0,CALIFORNIA,58,4.25,13.65
36,allegiance steam academy - thrive district,CALIFORNIA,62.12,12,0,0,0,2,0,1,1.35,1,6.5,Allegiance STEAM Academy - Thrive District,602175.0,San Bernardino County,6071.0,1.0,CALIFORNIA,813,32.52,25
37,allensworth elementary,California,8.71,0,0,0.07,0,0.5,0,0.5,0,0,3.11,Allensworth Elementary,601980.0,Tulare County,6107.0,1.0,CALIFORNIA,67,4.53,14.79
38,alliance alice m. baxter college-ready high district,CALIFORNIA,15.5,0,0.7,0,0,0,0,1,0,0,2.33,Alliance Alice M. Baxter College-Ready High District,601572.0,Los Angeles County,6037.0,1.0,CALIFORNIA,167,11.47,14.56
39,alliance cindy and bill simon technology acad high district,CALIFORNIA,41.67,2,3,0,0,1.7,0,1.5,0,0,7,Alliance Cindy and Bill Simon Technology ACAD High District,602119.0,Los Angeles County,6037.0,1.0,CALIFORNIA,517,25.47,20.3
40,alliance college-ready middle academy 12 district,CALIFORNIA,31.04,1,1,0,0,0,0,2,0,0,8,Alliance College-Ready Middle Academy 12 District,602453.0,Los Angeles County,6037.0,1.0,CALIFORNIA,475,18.04,26.33
41,alliance college-ready middle academy 4 district,CALIFORNIA,32.29,2,0,0,0,0.85,0,1.9,0,1,7.15,Alliance College-Ready Middle Academy 4 District,601865.0,Los Angeles County,6037.0,1.0,CALIFORNIA,457,18.39,24.85
42,alliance college-ready middle academy 5 district,CALIFORNIA,16,1,0,0,0,0,0,2,0,0,4.5,Alliance College-Ready Middle Academy 5 District,602139.0,Los Angeles County,6037.0,1.0,CALIFORNIA,218,7.5,29.07
43,alliance college-ready middle academy 8 district,CALIFORNIA,32.45,2,3,0,0,0.85,0,2.95,0,0,3.15,Alliance College-Ready Middle Academy 8 District,601589.0,Los Angeles County,6037.0,1.0,CALIFORNIA,429,18.5,23.19
44,alliance collins family college-ready high district,CALIFORNIA,49.5,3,2,0,0,1,0,3.2,0,1,8,Alliance Collins Family College-Ready High District,601666.0,Los Angeles County,6037.0,1.0,CALIFORNIA,602,29.3,20.55
45,alliance dr. olga mohan high district,CALIFORNIA,35.88,2,3,0,0,1,0,1.5,0,0,4,Alliance Dr. Olga Mohan High District,601926.0,Los Angeles County,6037.0,1.0,CALIFORNIA,497,22.38,22.21
46,alliance gertz-ressler richard merkin 6-12 complex district,CALIFORNIA,73.7,5,3,0,0,1,0,3.5,0,0,15.14,Alliance Gertz-Ressler Richard Merkin 6-12 Complex District,602176.0,Los Angeles County,6037.0,1.0,CALIFORNIA,991,43.06,23.01
47,alliance jack h. skirball middle district,CALIFORNIA,30.89,3,1,0,0,0,0,2,0,0,5.11,Alliance Jack H. Skirball Middle District,601694.0,Los Angeles County,6037.0,1.0,CALIFORNIA,422,18.78,22.47
48,alliance judy ivie burton technology academy high district,CALIFORNIA,50.86,3,3,0,0,1.85,0,4,0,0,8.5,Alliance Judy Ivie Burton Technology Academy High District,601934.0,Los Angeles County,6037.0,1.0,CALIFORNIA,613,28.51,21.5
49,alliance kory hunter middle district,CALIFORNIA,34.8,1,0,0,0,4,0,2.8,0,1,4.17,Alliance Kory Hunter Middle District,601542.0,Los Angeles County,6037.0,1.0,CALIFORNIA,467,19.83,23.55
50,alliance leichtman-levine fam foundation env sci high dist,CALIFORNIA,34.61,2,1,0,0,0,0,2.75,0,1,6,Alliance Leichtman-Levine FAM Foundation Env Sci High DIST,601690.0,Los Angeles County,6037.0,1.0,CALIFORNIA,384,20.86,18.41
51,alliance marc & eva stern math and science district,CALIFORNIA,50.82,3,4,0,0,0,0,4.9,0,0,6,Alliance Marc & Eva Stern Math and Science District,602446.0,Los Angeles County,6037.0,1.0,CALIFORNIA,601,29.92,20.09
52,alliance margaret m.bloomfield technology acad high district,CALIFORNIA,42.51,2,1.7,0,0,1,0,3,0,0,8,Alliance Margaret M.Bloomfield Technology ACAD High District,601707.0,Los Angeles County,6037.0,1.0,CALIFORNIA,575,24.81,23.18
53,alliance marine - innovation and techn 6-12 complex district,CALIFORNIA,72.21,11,3,0,0,3,0,4,0,0,9.41,Alliance Marine - Innovation and Techn 6-12 Complex District,601835.0,Los Angeles County,6037.0,1.0,CALIFORNIA,968,38.8,24.95
54,alliance morgan mckinzie high district,CALIFORNIA,41.78,6,3.7,0,0,0,0,1.2,0,1,6,Alliance Morgan McKinzie High District,602407.0,Los Angeles County,6037.0,1.0,CALIFORNIA,471,22.88,20.59
55,alliance ouchi-o'donovan 6-12 complex district,CALIFORNIA,85.88,6,5.9,0,0,3.25,0,3.9,0,0,19,Alliance Ouchi-O'Donovan 6-12 Complex District,602266.0,Los Angeles County,6037.0,1.0,CALIFORNIA,990,41.83,23.67
56,alliance patti & peter neuwirth leadership academy district,CALIFORNIA,54.32,4,4,0,0,1.9,0,1.85,0,0,10,Alliance Patti & Peter Neuwirth Leadership Academy District,602362.0,Los Angeles County,6037.0,1.0,CALIFORNIA,592,27.57,21.47
57,alliance piera barbaglia shaheen hlt srvs academy district,CALIFORNIA,47.88,4,3,0,0,0,0,3.95,0,0,12.05,Alliance Piera Barbaglia Shaheen HLT SRVs Academy District,601900.0,Los Angeles County,6037.0,1.0,CALIFORNIA,486,22.88,21.24
58,alliance renee and meyer luskin academy high district,CALIFORNIA,44.73,2,5,0,0,1.5,0,3,0,1,7,Alliance Renee and Meyer Luskin Academy High District,602279.0,Los Angeles County,6037.0,1.0,CALIFORNIA,507,23.23,21.83
59,alliance susan and eric smidt technology high district,CALIFORNIA,41.89,3,2,0,0,0,0,4,0,0,11.5,Alliance Susan and Eric Smidt Technology High District,602190.0,Los Angeles County,6037.0,1.0,CALIFORNIA,433,19.39,22.33
60,alliance ted k. tajima high district,CALIFORNIA,38.86,3,3,0,0,1,0,1.5,0,0,4,Alliance Ted K. Tajima High District,601568.0,Los Angeles County,6037.0,1.0,CALIFORNIA,444,24.36,18.23
61,alliance tennenbaum family technology high district,CALIFORNIA,24.5,0,0.9,0,0,0,0,1.9,0,0,5.13,Alliance Tennenbaum Family Technology High District,602289.0,Los Angeles County,6037.0,1.0,CALIFORNIA,235,13.57,17.32
62,alliance virgil roberts leadership academy district,CALIFORNIA,32.6,5,0,0,0,0,0,2.6,0,0,3,Alliance Virgil Roberts Leadership Academy District,601654.0,Los Angeles County,6037.0,1.0,CALIFORNIA,408,20,20.4
63,alma fuerte public district,CALIFORNIA,14.13,5,0.13,0,0,1,0,0,0,0,1,Alma Fuerte Public District,602408.0,Los Angeles County,6037.0,1.0,CALIFORNIA,105,5,21
64,almond acres charter academy district,CALIFORNIA,28.4,3,0,0,0,2.8,0,0,0,0,5.5,Almond Acres Charter Academy District,601943.0,San Luis Obispo County,6079.0,1.0,CALIFORNIA,306,14.5,21.1
65,alpaugh unified,California,43.47,7.4,0,0,0,0.34,0,0.66,0,0,14.01,Alpaugh Unified,602010.0,Tulare County,6107.0,3.0,CALIFORNIA,332,17.06,19.46
66,alpha cindy avitia high district,CALIFORNIA,35.01,1,0,0,0,0,0,2,0,0,0,Alpha Cindy Avitia High District,601636.0,Santa Clara County,6085.0,1.0,CALIFORNIA,515,31.01,16.61
67,alpha: blanca alvarado district,CALIFORNIA,32,5,0,0,0,0,0,1,0,1,8,Alpha: Blanca Alvarado District,602221.0,Santa Clara County,6085.0,1.0,CALIFORNIA,360,15,24
68,alpha: cornerstone academy preparatory district,CALIFORNIA,38,4,0,0,0,0,0,4,0,0,7,Alpha: Cornerstone Academy Preparatory District,601671.0,Santa Clara County,6085.0,1.0,CALIFORNIA,521,21,24.81
69,alpha: jose hernandez district,CALIFORNIA,30.8,5,0,0,0,0,0,4,0,0,3.2,Alpha: Jose Hernandez District,602144.0,Santa Clara County,6085.0,1.0,CALIFORNIA,378,16.6,22.77
70,alpine county office of education,California,3.1,0,1,0,0,1,0,0,0,0,1.1,Alpine County Office of Education,691058.0,Alpine County,6003.0,1.0,CALIFORNIA,0,0,†
71,alpine county unified,California,31.56,6.96,1,0,0,1,0,1,0,0,5.6,Alpine County Unified,602070.0,Alpine County,6003.0,3.0,CALIFORNIA,73,11,6.64
72,alpine union elementary,California,131.23,12.98,1,0,0,1,0,4.9,1,1,31.34,Alpine Union Elementary,602100.0,San Diego County,6073.0,5.0,CALIFORNIA,1532,69.3,22.11
73,alta loma elementary,California,512.97,69.99,2,5,0,4,0,18,11,8,113.39,Alta Loma Elementary,602160.0,San Bernardino County,6071.0,10.0,CALIFORNIA,5659,228.5,24.77
74,alta vista elementary,California,55.5,9,0,0,0,1,0,1,0,0,13.5,Alta Vista Elementary,602220.0,Tulare County,6107.0,1.0,CALIFORNIA,515,25,20.6
75,alta vista innovation high district,CALIFORNIA,149.35,17,5.2,0,0,3.5,0,2,0,2,22.34,Alta Vista Innovation High District,601625.0,San Bernardino County,6071.0,1.0,CALIFORNIA,2068,67.31,30.72
76,alta-dutch flat union elementary,California,10.85,0,0,0.8,0,0.8,0,0,0,0,3,Alta-Dutch Flat Union Elementary,602250.0,Placer County,6061.0,1.0,CALIFORNIA,82,4.5,18.22
77,alternatives in action district,CALIFORNIA,17.5,0,0,0,0,0,0,1,0,0,7.4,Alternatives in Action District,601635.0,Alameda County,6001.0,1.0,CALIFORNIA,167,8.1,20.62
78,alum rock union elementary,California,823.19,53.9,9,0,0,14,0,26.5,17.9,12.6,216.63,Alum Rock Union Elementary,602310.0,Santa Clara County,6085.0,24.0,CALIFORNIA,8652,407.61,21.23
79,alview-dairyland union elementary,California,32.88,1,0,0,0,0.88,0,1,0,0,9,Alview-Dairyland Union Elementary,602360.0,Madera County,6039.0,2.0,CALIFORNIA,364,17,21.41
80,alvina elementary,California,26.41,7.59,0,0,0,0,0,1,0,0,8.07,Alvina Elementary,602370.0,Fresno County,6019.0,1.0,CALIFORNIA,185,9,20.56
81,alvord unified,California,1607.73,168.14,40,18,7,8,0,41,28.7,21.98,380.85,Alvord Unified,602430.0,Riverside County,6065.0,26.0,CALIFORNIA,17682,776.31,22.78
82,amador county office of education,California,39.96,17.72,1,1,0,4.1,0,0,5.5,3,3.58,Amador County Office of Education,691001.0,Amador County,6005.0,2.0,CALIFORNIA,25,2,12.5
83,amador county rop,California,–,–,–,–,–,–,–,–,–,–,–,Amador County ROP,600089.0,Amador County,6005.0,1.0,CALIFORNIA,0,–,–
84,amador county unified,California,374.75,14.98,11.45,0.2,0,3.8,0,15.46,9.1,2.8,81.32,Amador County Unified,602450.0,Amador County,6005.0,12.0,CALIFORNIA,3889,193.39,20.11
